movie_id,title,audience,release_date,country,director,producer,actor1,actor2,actor3,genre,screen,running_time,rating,series,holiday
20140321,비키니 브레이크,54,2014-08-20,미국,자레드 콘,,레이첼 알리그,,,코미디|멜로/로맨스,1,87,청소년관람불가,,11
20140322,말리부 섹스파티,54,2014-08-13,미국,에릭 포스버그,,세스 카셀,,,코미디,1,92,청소년관람불가,,12
20149994,막장! 마에다 가문의 정사,54,2014-08-13,일본,쿄우야 타다시,,사카모토 리사,아키라 에리,,성인물(에로),1,83,청소년관람불가,,12
20149319,뜨거운 온천장의 정사,54,2014-08-06,일본,칸바라 나오토,,무라사키 아야노,,,성인물(에로),1,79,청소년관람불가,,9
20132141,황금대겁안,1,2014-08-30,중국,닝 하오,,도홍,뇌가음,청위안위안,코미디|액션,1,110,15세이상관람가,,13
20148837,침묵의 목격자,446,2014-05-29,중국,비행,,곽부성,위 난,손홍뢰,스릴러,2,120,15세이상관람가,,11
19960279,비밀과 거짓말,311,1996-09-21,영국,마이크 리,채널4필름,브렌다 블레신,티모시 스폴,,드라마,4,140,고등학생이상관람가,,13
20135365,코비: 블루 엘리펀트의 전설,27641,2013-12-05,태국,타위랍 스리우티윙스,,,,,애니메이션,104,81,전체관람가,,11
20119138,아파치요새,5467,1971-05-01,미국,존 포드,,셜리 템플,헨리 폰다,존 웨인,서부극(웨스턴),1,125,전체관람가,,11
20136294,진저 앤 로사,3224,2014-05-15,영국,샐리 포터,,엘르 패닝,앨리스 앤글레르트,,드라마,17,89,15세이상관람가,,11
20138953,미 앤 유,3252,2014-02-27,이탈리아,베르나르도 베르톨루치,,테아,자코포,,드라마,15,96,15세이상관람가,,9
20140522,옹녀뎐,3765,2014-08-21,한국,경석호,영화사 인연,강경우,,,멜로/로맨스|코미디|사극,21,94,청소년관람불가,,12
20140187,야누스: 욕망의 두 얼굴,4122,2014-08-14,한국,손영호,(주)패스파인더씨앤씨,오인혜,이은미,크리스 조,미스터리|멜로/로맨스,20,83,청소년관람불가,,13
20140561,시실리 : 피의 전쟁,1164,2014-08-20,미국,카를로 푸스코,,스티븐 바우어,대니 글로버,마이클 매드슨,스릴러,20,83,15세이상관람가,,11
2010A742,캐릭터,110,2011-11-17,한국,손광주,,수현,이환,,드라마,4,99,12세이상관람가,,9
20120104,가시꽃,1759,2013-08-22,한국,이돈구,디케이필름프로덕션,남연우,양조아,홍정호,드라마,12,103,청소년관람불가,,12
20081750,샘터분식-그들도 우리처럼,300,2009-11-26,한국,태준식,가실,최영임,김진일,,다큐멘터리,4,82,전체관람가,,10
20123329,스타트렉 다크니스,1607555,2013-05-30,미국,J.J. 에이브럼스,파라마운트 픽쳐스,크리스 파인,칼 어번,조 샐다나,액션|SF|어드벤처,607,131,12세이상관람가,,10
20090235,스타 트렉: 더 비기닝,1085447,2009-05-07,미국,J.J. 에이브럼스,,크리스,재커리,칼,SF|액션|어드벤처,391,126,12세이상관람가,,9
20110986,양과자점 코안도르,17702,2011-07-28,일본,후카가와 요시히로,,에구치,아오이,,드라마,11,115,전체관람가,,10
20140253,숨바꼭질 : 극장판 - 도시전설,140,2014-08-15,일본,토리이 야즈,,노나카 미사토,,,공포(호러),1,81,15세이상관람가,,14
20140341,노아-40일간의 기적,1227,2014-08-13,미국,피터 가이거,,알렉스 카터,모니카 키나,크리스티아나 카마인,액션|SF,20,86,12세이상관람가,,12
20140148,넥스트 제네레이션 패트레이버 3,223,2014-08-14,일본,오시이 마모루,,마노 에리나,카케이 토시오,후쿠시 세이지,액션|SF,1,93,15세이상관람가,,13
20130252,그랑블루 리마스터링 감독판,22379,2013-07-25,프랑스,뤽 베송,,장,장,로잔나,멜로/로맨스|드라마,34,168,15세이상관람가,,10
20138481,폭스파이어,8703,2013-08-22,프랑스,로랑 캉테,,앨리,케이티,타마라 호프,드라마,30,143,15세이상관람가,,12
20134027,갬빗,14489,2013-11-28,미국,마이클 호프만,,콜린 퍼스,카메론 디아즈,,코미디|범죄,94,89,15세이상관람가,,10
20149460,왓니껴,898,2014-08-21,한국,이동삼,진이엔터테인먼트,심혜진,전노민,권재원,드라마,5,108,12세이상관람가,,12
20000246,랜덤 파이어-델타포스,,2000-09-23,미국,요시 와인,,토드,,,액션,,94,15세관람가,,11
20140180,타워 블록,10,2014-08-28,영국,제임스 넌,,셰리던 스미스,잭 오코넬,랠프 브라운,스릴러,1,90,청소년관람불가,,12
20149463,찰리 컨트리맨,4692,2014-08-28,미국,프레드릭 본드,,샤이아 라보프,에반 레이첼 우드,매즈 미켈슨,코미디|멜로/로맨스|액션,37,103,청소년관람불가,,12
20140490,심판자,10,2014-08-28,호주,존 V. 소토,,조나단 라파글리아,비바 비앙카,한나 맹간 로렌스,미스터리|범죄|액션,1,85,15세이상관람가,,12
20140841,더 챔프: 분노의 주먹,54,2014-08-28,미국,로드 루리,,사무엘 L. 잭슨,조쉬 하트넷,,드라마,1,112,12세이상관람가,,12
20148132,닌자터틀,400333,2014-08-28,미국,조나단 리브스만,,메간 폭스,윌리엄 피츠너,앨런 리치슨,액션|어드벤처|코미디,479,101,12세이상관람가,,12
20149409,오드토머스,16555,2014-08-27,미국,스티븐 소머즈,,안톤,윌렘,,액션|스릴러|SF|미스터리,165,95,15세이상관람가,,11
20140661,슈퍼 사이클론 스톰,1064,2014-08-27,미국,리즈 애덤스,,밍나 웬,니콜라스 터투로,,SF|스릴러,20,89,15세이상관람가,,11
20149140,브릭 맨션: 통제불능 범죄구역,74912,2014-08-27,프랑스,카밀 들라마레,,폴 워커,데이빗 벨,,액션|범죄|드라마,287,90,15세이상관람가,,11
20149831,더 퍼지 : 거리의 반란,59881,2014-08-27,미국,제임스 드모나코,,프랭크 그릴로,자크 길포드,키엘 산체스,공포(호러)|스릴러,204,103,청소년관람불가,"더 퍼스트 퍼지,더퍼지: 심판의날,더 퍼지",11
20138224,플랜맨,635740,2014-01-09,한국,성시흡,(주)영화사일취월장,정재영,한지민,,드라마,458,120,15세이상관람가,,11
20140228,컨택트 킬 좀비,54,2014-08-20,미국,더스틴 리커트,,폴 매카시 보잉턴,,,코미디|공포(호러),1,87,청소년관람불가,,11
20140493,브레이킹,2474,2014-08-21,미국,프레드랙 안토니제빅,,마일로 벤티밀리아,레베카 다 코스타,앤디 맥도웰,액션|스릴러|공포(호러),20,85,청소년관람불가,,12
19990260,유에스 씰,,1999-09-04,미국,요시 와인,마틴 홀딩스 에이.브이.브이.,저스틴 윌리엄스,짐 피츠패트릭,,액션,,93,18세관람가,,12
20000147,미션,,2000-04-22,홍콩,두기봉,밀키웨이 이미지,황추생,임달화,,액션|범죄,,90,18세관람가,,12
20149931,인보카머스,69786,2014-08-21,미국,스콧 데릭슨,,에릭 바나,에드가 라미레즈,올리비아 문,공포(호러),196,118,청소년관람불가,,12
20149952,백투더 씨,10566,2014-08-21,중국,톰 루,,팀 커리,마크 해밀,크리스찬 슬레이터,애니메이션,85,97,전체관람가,,12
20088533,박물관을 털어라,54,2014-08-21,미국,피터 휴잇,,모건 프리먼,크리스토퍼 월켄,윌리엄 H. 머시,코미디|액션|범죄,1,90,15세이상관람가,,12
20140204,로스트리전: 로마군단의 반란,10,2014-08-21,캐나다,다비드 코카,,톰 맥케이,미쉘 룩스,브라이언 카스피,액션,1,106,청소년관람불가,,12
20140067,러시: 스트리트레이서,10,2014-08-21,러시아,올레그 페센코,,알렉시 차도브,마리나 알렉산드로바,엘비라 볼고바,액션,1,109,15세이상관람가,,12
20088516,더 트루스: 무언의 제보자,54,2014-08-21,미국,로드 루리,,케이트 베킨세일,맷 딜런,베라 파미가,드라마|스릴러,1,106,청소년관람불가,,12
20148409,그녀들의 사생활,54,2014-04-30,일본,칸바라 나오토,,히라사와 리나코,,,성인물(에로),1,70,청소년관람불가,,10
19920379,프린세스 브라이드,13,1992-12-12,미국,롭 라이너,,캐리 엘위스,크리스 서랜든,로빈 라이트,판타지|멜로/로맨스|어드벤처|가족,1,98,연소자관람가,,12
20149494,비포 : 치즈와 초콜릿을 찾아서,18542,2014-07-10,이스라엘,이도 엔젤,,,,,애니메이션|어드벤처,90,78,전체관람가,,9
20149053,죽음의 천사,96,2014-05-29,아르헨티나,루시아 푸엔조,,알렉스 브렌데뮬,나탈리아 오레이로,디에고 퍼레티,스릴러|드라마,3,93,12세이상관람가,,11
20149432,구화영웅,600,2014-06-26,중국,곽자건,,사정봉,,,코미디|드라마,2,115,15세이상관람가,,9
20149286,로보싸커,9541,2014-07-03,말레이시아,아룽,,임주현,,,애니메이션|어드벤처,115,87,전체관람가,,9
20149417,숲의 전설,1270,2014-07-24,핀란드,빌레 수호넨,,,,,다큐멘터리,2,72,전체관람가,,10
20148925,울프 앳 더 도어,385,2014-07-10,브라질,페르난도 코임브라,,린드라 릴,밀헴 코타즈,파비울라 나쉬멘토,드라마,2,101,청소년관람불가,,9
